Row_ID,Slice_Type,5QI_Class,Resource_Type,QoS_Priority,Use_Case,Device_Type,Packet_Delay_Budget_ms,Packet_Loss_Rate,Throughput_Mbps,Guaranteed_Bit_Rate_Mbps,Bandwidth_MHz,Signal_Strength_dBm,SNR_dB,Jitter_ms,Network_Load_Percent,Duration_s,Modulation_Type,Num_UEs
1,eMBB,1,Non-GBR,50,Cloud Download,Tablet,150.0,0.0004999999999999999,10.0,0.0,200,-72.78,23.35,7.6118,51.49,6.43,64-QAM,42
2,eMBB,1,Non-GBR,50,Live Streaming,Smart TV,162.7419,0.0006096078845156707,10.386361,0.0,200,-70.02,25.25,15.5715,50.63,48.98,64-QAM,44
3,eMBB,6,Non-GBR,48,VR Gaming,Smartphone,165.8084,0.0005976209847195843,9.883057,0.0,200,-72.93,24.7,14.477,54.04,32.19,64-QAM,46
4,eMBB,1,Non-GBR,54,Video Conferencing,Laptop,165.2643,0.000830283473466708,10.358996,0.0,50,-72.98,23.15,16.3363,57.71,84.43,64-QAM,50
5,eMBB,1,Non-GBR,48,VR Gaming,AR Headset,167.7587,0.0007725787555643774,11.01442,0.0,50,-73.27,24.92,8.0821,53.48,77.88,64-QAM,44
6,eMBB,9,Non-GBR,46,Cloud Download,Smart TV,172.3736,0.0006435665890260466,11.108282,0.0,100,-68.95,23.73,16.872,54.52,74.83,64-QAM,44
7,eMBB,8,Non-GBR,50,Cloud Download,Smart TV,173.6816,0.0004724344074892426,11.927591,0.0,200,-76.41,23.49,10.4533,60.99,87.44,64-QAM,49
8,eMBB,3,Non-GBR,46,AR Navigation,AR Headset,174.5516,0.000341228866799411,11.30655,0.0,200,-69.61,26.55,9.4827,59.59,48.99,64-QAM,50
9,eMBB,6,Non-GBR,52,VR Gaming,Laptop,170.55,0.0002668245571491364,10.551062,0.0,50,-68.61,26.32,5.7176,56.9,46.34,64-QAM,46
10,eMBB,7,Non-GBR,45,Live Streaming,Laptop,167.9476,0.00030222141472899375,9.649682,0.0,50,-72.79,21.96,5.6588,60.94,8.36,64-QAM,49
11,eMBB,7,Non-GBR,51,Live Streaming,Smartphone,161.2462,0.0003525823828257689,10.528698,0.0,100,-76.99,25.35,12.6483,58.93,115.94,64-QAM,51
12,eMBB,5,Non-GBR,48,Live Streaming,Tablet,174.8869,0.00027477073776745295,10.862814,0.0,100,-72.71,25.23,10.8526,59.92,93.77,64-QAM,48
13,eMBB,7,Non-GBR,45,VR Gaming,AR Headset,168.1184,0.00034815568241699417,10.799616,0.0,50,-72.73,21.98,7.7093,63.02,4.8,64-QAM,51
14,eMBB,3,Non-GBR,48,Cloud Download,Laptop,165.5147,0.0003326535678027578,10.921435,0.0,200,-73.53,25.48,12.0789,57.53,109.86,64-QAM,47
15,eMBB,7,Non-GBR,47,VR Gaming,Smart TV,163.4159,0.00035889959225107775,10.329997,0.0,100,-72.84,26.4,7.7949,59.05,6.75,64-QAM,50
16,eMBB,1,Non-GBR,46,Video Conferencing,Smart TV,171.8157,0.0005026089986914485,11.620621,0.0,50,-69.64,21.97,12.1017,63.48,28.33,64-QAM,53
17,eMBB,2,Non-GBR,51,Live Streaming,AR Headset,171.3584,0.0005925243117724205,11.56709,0.0,50,-71.28,22.32,9.4495,63.06,88.6,64-QAM,54
18,eMBB,4,Non-GBR,46,AR Navigation,Smart TV,180.6893,0.0005525548334836871,11.51936,0.0,200,-75.44,24.73,15.8372,67.96,108.98,64-QAM,55
19,eMBB,5,Non-GBR,47,AR Navigation,Smart TV,176.3776,0.00046330966378362693,11.794636,0.0,50,-76.23,23.89,15.424,65.19,66.78,64-QAM,55
20,eMBB,8,Non-GBR,50,AR Navigation,Tablet,178.5863,0.0003145559932455859,11.913879,0.0,50,-73.57,24.37,11.325,64.56,9.51,64-QAM,54
21,eMBB,7,Non-GBR,47,Video Conferencing,Smart TV,174.522,0.0002912851493716553,11.894284,0.0,100,-75.24,23.11,9.5215,74.06,7.83,64-QAM,63
22,eMBB,2,Non-GBR,47,Cloud Download,Tablet,188.7731,0.00029894144103904155,11.378033,0.0,50,-72.97,23.6,10.4541,69.83,116.48,64-QAM,57
23,eMBB,9,Non-GBR,49,AR Navigation,Laptop,180.331,0.0002651049440843332,11.577748,0.0,50,-75.38,20.86,15.5806,71.54,62.52,64-QAM,58
24,eMBB,9,Non-GBR,53,Live Streaming,Smartphone,182.2317,0.0002792437946993857,12.460311,0.0,100,-72.55,24.78,9.6533,67.87,60.58,64-QAM,57
25,eMBB,2,Non-GBR,54,Cloud Download,AR Headset,186.0045,0.00030373165635859254,12.949684,0.0,200,-70.39,24.62,8.3022,71.29,40.43,64-QAM,61
26,eMBB,5,Non-GBR,48,Live Streaming,Laptop,187.9487,0.000309370695360915,13.496999,0.0,200,-73.17,22.25,6.7527,74.03,31.42,64-QAM,63
27,eMBB,9,Non-GBR,45,AR Navigation,Laptop,185.6359,0.00029073536782296433,12.917446,0.0,100,-74.29,22.84,11.6335,70.98,114.64,64-QAM,60
28,eMBB,5,Non-GBR,45,AR Navigation,Smartphone,184.5957,0.0003200714202765524,12.193029,0.0,100,-75.62,20.07,11.7678,76.29,48.7,64-QAM,64
